tiempo_llegada,tiempo_salida_servidor
"4430,884057","4445,336612"
"4441,72226","4445,819956"
"4472,266201","4475,011666"
"4475,348651","4492,556424"
"4476,726989","4494,260123"
"4497,510009","4501,255276"
"4504,927347","4506,477679"
"4526,446747","4526,8484"
"4537,413844","4544,230167"
"4539,694666","4545,620008"
"4542,693699","4551,544003"
"4551,585661","4555,427641"
"4559,281516","4561,447026"
"4587,393033","4589,429955"
"4609,889256","4613,965991"
"4649,5894","4649,666303"
"4656,125385","4662,56768"
"4659,565597","4664,555739"
"4664,72185","4667,342658"
"4673,241685","4677,048563"
"4676,472027","4683,211417"
"4679,590876","4687,319252"
"4679,791095","4688,508841"
"4680,969631","4688,946932"
"4682,665924","4692,738679"
"4691,189688","4709,482642"
"4697,737378","4711,423776"
"4700,59047","4715,925512"
"4706,442767","4729,007109"
"4715,016853","4735,882015"
"4723,212998","4745,716043"
"4726,854314","4746,534755"
"4729,531714","4750,912039"
"4741,390155","4751,748121"
"4747,404317","4760,319804"
"4748,834627","4764,823513"
"4750,369805","4768,365734"
"4776,646025","4777,721785"
"4776,989376","4779,297955"
"4779,973858","4790,798188"
"4795,224588","4800,088881"
"4801,986384","4802,800464"
"4823,335531","4824,790614"
"4842,565266","4846,906711"
"4850,471568","4854,529719"
"4865,458294","4865,822397"
"4871,072165","4875,131835"
"4888,410285","4895,400061"
"4893,105336","4895,571411"
"4903,452114","4923,4399"
"4911,894861","4925,383344"
"4913,467948","4937,942264"
"4919,888097","4954,059636"
"4929,079163","4956,116434"
"4934,580934","4961,218592"
"4937,395563","4961,6"
"4940,598667","4962,77277"
"4945,41797","4962,921036"
"4952,260644","4973,946517"
"4969,103135","4975,865204"
"4969,703343","4980,111017"
"5003,96327","5004,776004"
"5023,643614","5026,625084"
"5033,314281","5036,376927"
"5035,453139","5040,959585"
"5039,789031","5042,329686"
"5044,567317","5045,308417"
"5051,892727","5053,210726"
"5065,677975","5065,715882"
"5072,448407","5080,790762"
"5073,350245","5096,628864"
"5093,847441","5103,862882"
"5112,199521","5115,485701"
"5121,983552","5124,261415"
"5135,032678","5144,829426"
"5135,673846","5157,427969"
"5166,224572","5166,738006"
"5213,194032","5218,646708"
"5219,785661","5223,211384"
"5234,566216","5236,837882"
"5249,223739","5275,88961"
"5253,229504","5283,218519"
"5255,518681","5285,044819"
"5258,870183","5287,737273"
"5261,533705","5292,062186"
"5268,861506","5297,005945"
"5277,581385","5297,748598"
"5281,807549","5299,265311"
"5283,582262","5300,029165"
"5292,429336","5303,593028"
"5297,426314","5312,187596"
"5306,239308","5315,457137"
"5309,345419","5320,220293"
"5314,381525","5325,690046"
"5330,042424","5337,849298"
"5336,348919","5339,194738"
"5337,653813","5340,080099"
"5342,592957","5348,71889"
"5367,222687","5372,125954"
"5373,591271","5383,001466"
"5379,788986","5386,946483"
"5383,804827","5391,673928"
"5385,685873","5398,665784"
"5404,700767","5407,448079"
"5418,946929","5425,545173"
"5421,168016","5428,132013"
"5425,520061","5430,701203"
"5433,495063","5451,37735"
"5450,398706","5471,205756"
"5473,975815","5476,93474"
"5476,7403","5479,86307"
"5496,790298","5498,417623"
"5499,733844","5518,481054"
"5508,29636","5532,222937"
"5523,649253","5538,57132"
"5525,208035","5540,124814"
"5525,278498","5545,594241"
"5559,964835","5564,025865"
"5560,026637","5568,933274"
"5578,136668","5578,286214"
"5578,406289","5588,38732"
"5582,15921","5597,67375"
"5586,974476","5603,144934"
"5591,070434","5605,073982"
"5619,882735","5622,61829"
"5627,576675","5630,22802"
"5633,069227","5639,431252"
"5636,085128","5651,644505"
"5657,143513","5670,884105"
"5668,16665","5671,196944"
"5673,557476","5674,419438"
"5678,49389","5687,392748"
"5696,208647","5699,589848"
"5697,341385","5721,045996"
"5698,12858","5725,716808"
"5711,439685","5726,047624"
"5720,114793","5731,637323"
"5730,773462","5732,503612"
"5731,171072","5734,159331"
"5739,184513","5743,057135"
"5745,057681","5745,852803"
"5751,22041","5756,760603"
"5766,814423","5767,440785"
"5767,254604","5796,22303"
"5774,084691","5797,408359"
"5781,367852","5801,182141"
"5790,615684","5832,018355"
"5812,433305","5835,313095"
"5815,771184","5843,538679"
"5821,997188","5844,92945"
"5836,072404","5853,467224"
"5837,610922","5859,505485"
"5852,730811","5859,655463"
"5859,886276","5864,073592"
"5860,630527","5867,998401"
"5864,069184","5883,893782"
"5873,123513","5884,045574"
"5877,724216","5887,654851"
"5887,306919","5891,07658"
"5898,480308","5935,99818"
"5920,74569","5941,367765"
"5921,443825","5952,952925"
"5924,335125","5957,782241"
"5945,949254","5960,552274"
"5948,82846","5961,542554"
"5967,740752","5973,108654"
"5970,546482","5976,795814"
"5986,417614","5988,455708"
"5989,629178","5996,71665"
"6000,568718","6001,297126"
"6022,74038","6023,038093"
"6023,716793","6046,798894"
"6031,274762","6047,477453"
"6055,584213","6060,070197"
"6058,967096","6061,180691"
"6066,228696","6073,829084"
"6068,972832","6081,591823"
"6069,411854","6081,907907"
"6084,079545","6093,176621"
"6096,831669","6121,534229"
"6098,756365","6128,964327"
"6104,156158","6131,708006"
"6121,123294","6132,327667"
"6123,865328","6151,48444"
"6129,12376","6157,743163"
"6147,161048","6166,977016"
"6176,67902","6184,81079"
"6182,125631","6191,382349"
"6184,526807","6192,660518"
"6213,423121","6214,075296"
"6218,873097","6242,502706"
"6219,142882","6248,637984"
"6226,141566","6257,192316"
"6229,731397","6267,039183"
"6249,065732","6269,259782"
"6251,641976","6284,598057"
"6255,251481","6285,147115"
"6260,038716","6288,148177"
"6262,315988","6294,002101"
"6272,914478","6297,124941"
"6279,120968","6298,923981"
"6281,263799","6304,093425"
"6285,851588","6315,418051"
"6290,28468","6327,496034"
"6298,681541","6330,067804"
"6303,85087","6334,721597"
"6307,287984","6339,932599"
"6343,959629","6354,211083"
"6346,351317","6368,244624"
"6358,220995","6372,703511"
"6359,884763","6379,341812"
"6363,795338","6383,165048"
"6370,766941","6386,890594"
"6399,093983","6410,430013"
"6399,76401","6430,376685"
"6418,683036","6456,803995"
"6432,112701","6459,744499"
"6446,467395","6464,964203"
"6448,811692","6465,684621"
"6465,141979","6467,979911"
"6465,9279","6472,815015"
"6465,963455","6478,616909"
"6467,879361","6492,150525"
"6468,352271","6493,800922"
"6480,006452","6525,543412"
"6488,918223","6537,49579"
"6492,462984","6539,592637"
"6495,267434","6542,28047"
"6496,097473","6549,115235"
"6496,828497","6549,900512"
"6505,55779","6551,469712"
"6506,585952","6552,720659"
"6530,338452","6565,533827"
"6531,169998","6577,234909"
"6539,60009","6579,215823"
"6557,989538","6581,995178"
"6572,779133","6595,634915"
"6572,836267","6602,000899"
"6574,118537","6605,495872"
"6586,465982","6607,325145"
"6589,368259","6622,841633"
"6589,986297","6645,649709"
"6593,609994","6650,509276"
"6598,233437","6656,803889"
"6618,655742","6668,620147"
"6630,785721","6672,643029"
"6634,242396","6677,540502"
"6653,31855","6693,002736"
"6667,385253","6730,703679"
"6692,562776","6732,173381"
"6695,420318","6742,392002"
"6699,593089","6754,562257"
"6704,902366","6766,371829"
"6756,992395","6767,716477"
"6765,033247","6784,988759"
"6777,337709","6789,078227"
"6784,141458","6790,566913"
"6785,806889","6802,476962"
"6788,300647","6806,612043"
"6792,136186","6813,210813"
"6803,519935","6816,785881"
"6808,349018","6825,341871"
"6812,500147","6832,035037"
"6813,949491","6841,608013"
"6835,095266","6843,192764"
"6836,774784","6849,874975"
"6848,345945","6850,516326"
"6852,660341","6852,665583"
"6854,349176","6854,965588"
"6868,322139","6870,803306"
"6868,694377","6879,657767"
"6876,83571","6881,442268"
"6932,530296","6935,898206"
"6971,508948","6974,515565"
"6984,717965","6985,405236"
"6993,527848","6998,182436"
"6997,744425","7000,688733"
"7011,494059","7011,939847"
"7016,479433","7022,206922"
"7016,819481","7023,244293"
"7029,230382","7040,98769"
"7048,614756","7059,823511"
"7056,420932","7066,310238"
"7071,311251","7071,942101"
"7079,335081","7086,990488"
"7084,496891","7091,167866"
"7085,099136","7103,538804"
"7099,801704","7103,823456"
"7102,485817","7105,88608"
"7106,14844","7110,920436"
"7112,62046","7113,42956"
"7113,882244","7114,209899"
"7122,580448","7124,367607"
"7130,109707","7147,416239"
"7176,351365","7177,64249"
"7179,293501","7182,178053"
"7189,390723","7193,292161"
"7196,427782","7198,689291"
"7196,697619","7201,366143"
"7197,664837","7205,220846"
"7203,336936","7212,211031"
"7219,136231","7229,948519"
"7221,940143","7241,00694"
"7222,217556","7247,795769"
"7226,115737","7250,474906"
"7234,854946","7252,395536"
"7242,882754","7260,152675"
"7245,307096","7260,188547"
"7259,492933","7264,670807"
"7268,635725","7285,129918"
"7270,481858","7291,982335"
"7272,038035","7297,036662"
"7276,154508","7298,30323"
"7276,570191","7300,74869"
"7296,628467","7304,305366"
"7303,815045","7307,602689"
"7307,492547","7317,775332"
"7317,997473","7319,974457"
"7339,047048","7346,607186"
"7356,501995","7361,009514"
"7357,124028","7365,215057"
"7364,557339","7388,581939"
"7368,078487","7396,927729"
"7371,213549","7409,132373"
"7374,222628","7413,401192"
"7385,9729","7416,220925"
"7389,521492","7421,648149"
"7402,406321","7421,747634"
"7413,327502","7424,644516"
"7413,955746","7433,121751"
"7419,238469","7433,44695"
"7432,885655","7439,683183"
"7434,688499","7440,211446"
"7442,855523","7444,406752"
"7443,201222","7466,547731"
"7445,99801","7477,835217"
"7449,192177","7481,547149"
"7460,245405","7484,8013"
"7463,681498","7487,082352"
"7468,723331","7517,682778"
"7471,051778","7532,46314"
"7482,57983","7540,659636"
"7514,876086","7540,889493"
"7539,296772","7541,194038"
"7551,691555","7555,137301"
"7555,103306","7559,03971"
"7561,053314","7565,813607"
"7581,158802","7582,145106"
"7584,276249","7585,346452"
"7598,197672","7600,468749"
"7599,260134","7600,722086"
"7602,796689","7605,407421"
"7605,962913","7607,130149"
"7614,64463","7618,814417"
"7614,79595","7626,185921"
"7627,337425","7635,365996"
"7635,513873","7638,43897"
"7643,193062","7652,885134"
"7657,472531","7661,473373"
"7658,472393","7670,997009"
"7660,254759","7681,902665"
"7665,857255","7685,903407"
"7684,513371","7690,5264"
"7718,048484","7723,297423"
"7723,195719","7726,666664"
"7723,531292","7727,404172"
"7729,072001","7731,041764"
"7746,000633","7746,513643"
"7754,210312","7768,882879"
"7759,249768","7787,215015"
"7763,282714","7787,745235"
"7764,504591","7793,616504"
"7767,339009","7793,861003"
"7789,664302","7805,778951"
"7799,716932","7810,255034"
"7825,838262","7834,803135"
"7834,6535","7839,804887"
"7839,684253","7854,095784"
"7840,17987","7859,053126"
"7843,798492","7864,649359"
"7848,987824","7869,086099"
"7849,231509","7874,228659"
"7852,035411","7881,572345"
"7857,404862","7887,727636"
"7862,407556","7897,107813"
"7868,060966","7897,586811"
"7872,036155","7899,429993"
"7878,258554","7900,526862"
"7882,617471","7900,842092"
"7885,680514","7914,957098"
"7889,309288","7915,970468"
"7894,719389","7921,806667"
"7902,769356","7929,426752"
"7903,641399","7932,943251"
"7911,907798","7948,193836"
"7918,779144","7949,577398"
"7926,677254","7953,176999"
"7958,00993","7960,199632"
"7969,258233","7973,741363"
"7976,876719","7985,095359"
"7982,942605","7988,105233"
"7985,080901","8003,717637"
"7997,653848","8005,806768"
"8000,266764","8010,314821"
"8004,084374","8011,450777"
"8015,067703","8024,836706"
"8015,110863","8037,068939"
"8024,041145","8043,085379"
"8040,327563","8049,359362"
"8045,619408","8052,403415"
"8057,009039","8059,856379"
"8070,357293","8071,966809"
"8083,404699","8096,337517"
"8102,541326","8106,224203"
"8110,087642","8112,00796"
"8110,237707","8113,142998"
"8116,834427","8119,266069"
"8118,754724","8120,177195"
"8123,762186","8144,246483"
"8132,526959","8144,613838"
"8148,661847","8155,228503"
"8157,20316","8169,377415"
"8160,189466","8169,591881"
"8164,875524","8173,30828"
"8167,691148","8179,08509"
"8171,263417","8191,13359"
"8171,428925","8192,942692"
"8175,044585","8195,558037"
"8179,732785","8197,124974"
"8182,354257","8199,227732"
"8196,80524","8201,096306"
"8199,669333","8203,041261"
